Country Name,Year,Primary Enrollment,GDP
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,0.0225000008940697
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,167.0
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,32.8412933744277
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,0.320069123848047
Belgium,2001,771889.0,0.265395175910324
Belgium,2001,771889.0,0.399621216116374
Belgium,2001,771889.0,118340.0
Belgium,2001,771889.0,11.5043206822099
Belgium,2001,771889.0,25.5363683935113
Belgium,2001,771889.0,25.50848740916
Belgium,2001,771889.0,30186.744
Belgium,2001,771889.0,45.7336935947271
Belgium,2001,771889.0,54121.253
Belgium,2001,771889.0,26.4521193092622
Belgium,2001,771889.0,1.98848770277342
Belgium,2001,771889.0,24.0013954299669
Belgium,2001,771889.0,22.5213418962312
Belgium,2001,771889.0,26651.756
Belgium,2001,771889.0,22.0129077271934
Belgium,2001,771889.0,2.041867356542
Belgium,2001,771889.0,0.0
Belgium,2001,771889.0,0.80293650686291
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,6.85701677972404
Belgium,2001,771889.0,7800700000.0
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,12.0
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,83.4323189549989
Belgium,2001,771889.0,
Belgium,2001,771889.0,5109693.0
Belgium,2001,771889.0,
Belgium,2001,771889.0,
